game,seed,teamset,adaptive_persistent,adaptive_reset,full,intentional,p1_resp_obs,p1_p_play_num,p1_p_disc_num,p1_p_play_color,p1_p_disc_color,p1_giving_obs,p1_giving_play_bias,p1_giving_color_bias,p1_giving_conservatism,p1_giving_coverage,p2_resp_obs,p2_p_play_num,p2_p_disc_num,p2_p_play_color,p2_p_disc_color,p2_giving_obs,p2_giving_play_bias,p2_giving_color_bias,p2_giving_conservatism,p2_giving_coverage,p3_resp_obs,p3_p_play_num,p3_p_disc_num,p3_p_play_color,p3_p_disc_color,p3_giving_obs,p3_giving_play_bias,p3_giving_color_bias,p3_giving_conservatism,p3_giving_coverage,ma50_adaptive_persistent,ma50_adaptive_reset,ma50_full,ma50_intentional,diff_persistent_reset,diff_persistent_full,diff_persistent_intentional
21,1205740398,5,14,13,14,11,58,0.27586206896551724,0.5862068965517241,0.2857142857142857,0.5714285714285714,17,0.8039215686274509,0.4117647058823529,7.0,0.39705882352941174,63,0.5227272727272727,0.045454545454545456,0.52,0.08,179,0.6219739292364991,0.25139664804469275,5.418994413407821,0.3528864059590317,81,0.7073170731707317,0.024390243902439025,0.6739130434782609,0.043478260869565216,104,0.6738782051282051,0.7788461538461539,5.355769230769231,0.36858974358974356,13.619047619047619,13.571428571428571,13.095238095238095,12.714285714285714,1,0,3
22,1205740399,5,14,12,13,12,62,0.25,0.59375,0.2777777777777778,0.5833333333333334,17,0.8039215686274509,0.4117647058823529,7.0,0.39705882352941174,69,0.5306122448979592,0.04081632653061224,0.5,0.07692307692307693,185,0.6261261261261262,0.24324324324324326,5.416216216216216,0.3509009009009009,85,0.7272727272727273,0.022727272727272728,0.6808510638297872,0.0425531914893617,110,0.6916666666666667,0.7909090909090909,5.363636363636363,0.3643939393939393,13.636363636363637,13.5,13.090909090909092,12.681818181818182,2,1,2
23,1205740400,5,13,14,14,11,66,0.23529411764705882,0.6176470588235294,0.2894736842105263,0.5789473684210527,18,0.7592592592592592,0.4444444444444444,7.0,0.3888888888888889,75,0.5283018867924528,0.03773584905660377,0.5357142857142857,0.07142857142857142,192,0.6293402777777778,0.25,5.411458333333333,0.3498263888888889,86,0.7333333333333333,0.022222222222222223,0.6808510638297872,0.0425531914893617,117,0.7015669515669515,0.7777777777777778,5.35042735042735,0.36609686609686604,13.608695652173912,13.521739130434783,13.130434782608695,12.608695652173912,-1,-1,2
24,1205740401,5,13,13,12,11,68,0.22857142857142856,0.6,0.3076923076923077,0.5641025641025641,19,0.7456140350877193,0.47368421052631576,7.0,0.39473684210526316,79,0.543859649122807,0.03508771929824561,0.5357142857142857,0.07142857142857142,198,0.6380471380471381,0.25757575757575757,5.409090909090909,0.3493265993265994,92,0.6666666666666666,0.0392156862745098,0.6808510638297872,0.0425531914893617,123,0.7039295392953929,0.7804878048780488,5.365853658536586,0.3665311653116531,13.583333333333334,13.5,13.083333333333334,12.541666666666666,0,1,2
25,1205740402,5,13,13,13,12,70,0.2222222222222222,0.6111111111111112,0.325,0.55,19,0.7456140350877193,0.47368421052631576,7.0,0.39473684210526316,85,0.5573770491803278,0.03278688524590164,0.5666666666666667,0.06666666666666667,205,0.6357723577235773,0.25365853658536586,5.414634146341464,0.3508130081300813,94,0.6666666666666666,0.0392156862745098,0.6938775510204082,0.04081632653061224,131,0.7029262086513994,0.7862595419847328,5.358778625954199,0.36323155216284986,13.56,13.48,13.08,12.52,0,0,1
26,1205740403,5,14,14,12,12,70,0.2222222222222222,0.6111111111111112,0.325,0.55,20,0.7083333333333333,0.5,7.0,0.3875,86,0.5483870967741935,0.04838709677419355,0.5666666666666667,0.06666666666666667,215,0.6294573643410853,0.2558139534883721,5.437209302325582,0.3554263565891473,96,0.6730769230769231,0.038461538461538464,0.7,0.04,139,0.7056354916067146,0.7769784172661871,5.359712230215828,0.35671462829736206,13.576923076923077,13.5,13.038461538461538,12.5,0,2,2
27,1205740404,5,13,15,12,13,73,0.2631578947368421,0.5789473684210527,0.3170731707317073,0.5609756097560976,21,0.7222222222222222,0.5238095238095238,7.0,0.38095238095238093,90,0.5384615384615384,0.06153846153846154,0.5806451612903226,0.06451612903225806,220,0.6310606060606061,0.2545454545454545,5.4363636363636365,0.3541666666666667,104,0.6727272727272727,0.03636363636363636,0.6909090909090909,0.03636363636363636,144,0.7042824074074073,0.7777777777777778,5.347222222222222,0.35821759259259256,13.555555555555555,13.555555555555555,13.0,12.518518518518519,-2,1,0
28,1205740405,5,12,12,15,13,76,0.28205128205128205,0.5641025641025641,0.3023255813953488,0.5813953488372093,24,0.7569444444444443,0.5416666666666666,7.0,0.375,95,0.5507246376811594,0.057971014492753624,0.5625,0.09375,226,0.6253687315634219,0.25663716814159293,5.446902654867257,0.35471976401179944,106,0.6727272727272727,0.03636363636363636,0.6666666666666666,0.05263157894736842,151,0.7047461368653422,0.7748344370860927,5.357615894039735,0.3565121412803532,13.5,13.5,13.071428571428571,12.535714285714286,0,-3,-1
29,1205740406,5,15,14,14,12,80,0.2682926829268293,0.5609756097560976,0.28888888888888886,0.5777777777777777,25,0.7666666666666666,0.56,7.0,0.37,99,0.5277777777777778,0.05555555555555555,0.5757575757575758,0.09090909090909091,233,0.6280400572246067,0.2532188841201717,5.446351931330472,0.3569384835479256,111,0.6779661016949152,0.03389830508474576,0.6724137931034483,0.05172413793103448,155,0.7043010752688171,0.7806451612903226,5.348387096774194,0.3602150537634408,13.551724137931034,13.517241379310345,13.10344827586207,12.517241379310345,1,1,3
30,1205740407,5,13,10,12,10,85,0.27906976744186046,0.5581395348837209,0.2708333333333333,0.5833333333333334,26,0.7371794871794871,0.5769230769230769,7.0,0.36538461538461536,101,0.5405405405405406,0.05405405405405406,0.5757575757575758,0.09090909090909091,243,0.6248285322359397,0.25102880658436216,5.444444444444445,0.35871056241426613,113,0.6666666666666666,0.03333333333333333,0.6610169491525424,0.05084745762711865,161,0.7028985507246376,0.782608695652174,5.341614906832298,0.3607660455486542,13.533333333333333,13.4,13.066666666666666,12.433333333333334,3,1,3
31,1205740408,5,14,16,12,11,86,0.2727272727272727,0.5681818181818182,0.2708333333333333,0.5833333333333334,27,0.7469135802469135,0.5925925925925926,7.0,0.3611111111111111,111,0.5375,0.05,0.5405405405405406,0.08108108108108109,248,0.6323924731182796,0.24596774193548387,5.439516129032258,0.3575268817204301,115,0.6721311475409836,0.03278688524590164,0.6666666666666666,0.05,168,0.7033730158730158,0.7797619047619048,5.339285714285714,0.3621031746031746,13.548387096774194,13.483870967741936,13.03225806451613,12.387096774193548,-2,2,3
32,1205740409,5,15,14,15,13,88,0.26666666666666666,0.5777777777777777,0.2857142857142857,0.5714285714285714,28,0.7559523809523808,0.5714285714285714,7.0,0.35714285714285715,113,0.5308641975308642,0.04938271604938271,0.5526315789473685,0.07894736842105263,257,0.6297016861219196,0.2490272373540856,5.439688715953308,0.35667963683527887,120,0.6923076923076923,0.03076923076923077,0.6557377049180327,0.04918032786885246,173,0.7003853564547206,0.7861271676300579,5.335260115606936,0.3588631984585742,13.59375,13.5,13.09375,12.40625,1,0,2
33,1205740410,5,12,11,13,13,91,0.2553191489361702,0.5957446808510638,0.28,0.58,29,0.7643678160919539,0.5517241379310345,7.0,0.35344827586206895,119,0.5294117647058824,0.058823529411764705,0.525,0.1,266,0.6384711779448622,0.2518796992481203,5.43609022556391,0.3549498746867168,124,0.7058823529411765,0.029411764705882353,0.6451612903225806,0.04838709677419355,178,0.6910112359550561,0.7865168539325843,5.325842696629214,0.3609550561797753,13.545454545454545,13.424242424242424,13.090909090909092,12.424242424242424,1,-1,-1
34,1205740411,5,15,13,12,13,94,0.2553191489361702,0.5957446808510638,0.2641509433962264,0.6037735849056604,30,0.7722222222222221,0.5666666666666667,7.0,0.35,122,0.5232558139534884,0.05813953488372093,0.5476190476190477,0.09523809523809523,274,0.6435523114355232,0.24817518248175183,5.430656934306569,0.35736009732360097,131,0.7027027027027027,0.02702702702702703,0.6507936507936508,0.047619047619047616,181,0.6869244935543277,0.7845303867403315,5.320441988950276,0.36187845303867405,13.588235294117647,13.411764705882353,13.058823529411764,12.441176470588236,2,3,2
35,1205740412,5,12,13,13,12,94,0.2553191489361702,0.5957446808510638,0.2641509433962264,0.6037735849056604,30,0.7722222222222221,0.5666666666666667,7.0,0.35,124,0.5172413793103449,0.05747126436781609,0.5581395348837209,0.09302325581395349,284,0.6455399061032864,0.24647887323943662,5.443661971830986,0.35563380281690143,135,0.7142857142857143,0.025974025974025976,0.65625,0.046875,189,0.6948853615520281,0.7883597883597884,5.328042328042328,0.3637566137566138,13.542857142857143,13.4,13.057142857142857,12.428571428571429,-1,-1,0
36,1205740413,5,14,16,12,12,98,0.26,0.6,0.2777777777777778,0.5925925925925926,30,0.7722222222222221,0.5666666666666667,7.0,0.35,125,0.5172413793103449,0.05747126436781609,0.5454545454545454,0.09090909090909091,292,0.6438356164383562,0.25,5.4520547945205475,0.3587328767123288,141,0.7195121951219512,0.024390243902439025,0.6615384615384615,0.046153846153846156,193,0.701208981001727,0.7875647668393783,5.331606217616581,0.3639896373056995,13.555555555555555,13.472222222222221,13.027777777777779,12.416666666666666,-2,2,2
37,1205740414,5,13,13,11,13,102,0.2641509433962264,0.6037735849056604,0.2727272727272727,0.6,31,0.7473118279569891,0.5806451612903226,7.0,0.3548387096774194,129,0.5168539325842697,0.056179775280898875,0.5434782608695652,0.08695652173913043,298,0.6442953020134228,0.2516778523489933,5.446308724832215,0.35822147651006714,147,0.7093023255813954,0.03488372093023256,0.6716417910447762,0.04477611940298507,197,0.7047377326565143,0.7868020304568528,5.32994923857868,0.3629441624365482,13.54054054054054,13.45945945945946,12.972972972972974,12.432432432432432,0,2,0
38,1205740415,5,15,13,12,10,104,0.2641509433962264,0.6037735849056604,0.2807017543859649,0.5964912280701754,31,0.7473118279569891,0.5806451612903226,7.0,0.3548387096774194,135,0.5268817204301075,0.053763440860215055,0.5416666666666666,0.08333333333333333,306,0.644880174291939,0.24836601307189543,5.4411764705882355,0.3602941176470588,152,0.7078651685393258,0.033707865168539325,0.6811594202898551,0.043478260869565216,201,0.7031509121061359,0.7910447761194029,5.323383084577115,0.3619402985074627,13.578947368421053,13.447368421052632,12.947368421052632,12.368421052631579,2,3,5
39,1205740416,5,14,13,11,13,107,0.26785714285714285,0.6071428571428571,0.2807017543859649,0.5964912280701754,32,0.7552083333333333,0.59375,7.0,0.3515625,138,0.5263157894736842,0.05263157894736842,0.5510204081632653,0.08163265306122448,313,0.6373801916932909,0.2523961661341853,5.437699680511182,0.36182108626198084,157,0.7127659574468085,0.031914893617021274,0.6811594202898551,0.043478260869565216,206,0.7022653721682848,0.7864077669902912,5.325242718446602,0.3616504854368932,13.58974358974359,13.435897435897436,12.897435897435898,12.384615384615385,1,3,1
40,1205740417,5,15,15,12,15,111,0.2807017543859649,0.5964912280701754,0.26666666666666666,0.6166666666666667,33,0.7626262626262625,0.5757575757575758,7.0,0.3484848484848485,142,0.5204081632653061,0.061224489795918366,0.56,0.08,319,0.6374085684430513,0.25705329153605017,5.435736677115988,0.36442006269592475,163,0.7070707070707071,0.030303030303030304,0.6857142857142857,0.04285714285714286,211,0.7022116903633491,0.7819905213270142,5.317535545023697,0.3637440758293839,13.625,13.475,12.875,12.45,0,3,0
41,1205740418,5,12,15,11,11,111,0.2807017543859649,0.5964912280701754,0.26666666666666666,0.6166666666666667,34,0.7401960784313725,0.5882352941176471,7.0,0.34558823529411764,152,0.5048543689320388,0.05825242718446602,0.5454545454545454,0.10909090909090909,328,0.6331300813008132,0.2530487804878049,5.426829268292683,0.36915650406504064,166,0.7058823529411765,0.029411764705882353,0.6857142857142857,0.04285714285714286,216,0.7021604938271605,0.7870370370370371,5.314814814814815,0.3645833333333333,13.585365853658537,13.512195121951219,12.829268292682928,12.414634146341463,-3,1,1
42,1205740419,5,15,14,14,15,114,0.288135593220339,0.576271186440678,0.2786885245901639,0.6065573770491803,35,0.7476190476190475,0.6,7.0,0.35,155,0.5142857142857142,0.05714285714285714,0.5357142857142857,0.10714285714285714,334,0.6337325349301398,0.25149700598802394,5.422155688622754,0.3712574850299401,171,0.7115384615384616,0.028846153846153848,0.6986301369863014,0.0410958904109589,221,0.7043740573152337,0.7828054298642534,5.3076923076923075,0.36764705882352944,13.619047619047619,13.523809523809524,12.857142857142858,12.476190476190476,1,1,0
43,1205740420,5,11,16,14,12,118,0.2857142857142857,0.5714285714285714,0.2786885245901639,0.6065573770491803,36,0.7546296296296295,0.6111111111111112,7.0,0.3472222222222222,159,0.5094339622641509,0.05660377358490566,0.5254237288135594,0.1016949152542373,341,0.6378299120234606,0.24926686217008798,5.425219941348973,0.37316715542521994,173,0.7047619047619048,0.02857142857142857,0.6891891891891891,0.04054054054054054,228,0.7039473684210527,0.7850877192982456,5.302631578947368,0.3673245614035088,13.55813953488372,13.581395348837209,12.883720930232558,12.465116279069768,-5,-3,-1
44,1205740421,5,12,15,13,12,122,0.27692307692307694,0.5846153846153846,0.2698412698412698,0.6190476190476191,37,0.7612612612612611,0.6216216216216216,7.0,0.35135135135135137,161,0.5,0.05555555555555555,0.5254237288135594,0.1016949152542373,350,0.6400000000000001,0.24857142857142858,5.42,0.37285714285714283,175,0.7075471698113207,0.02830188679245283,0.6933333333333334,0.04,234,0.7029914529914529,0.7863247863247863,5.294871794871795,0.36538461538461536,13.522727272727273,13.613636363636363,12.886363636363637,12.454545454545455,-3,-1,0
45,1205740422,5,12,10,11,11,123,0.2878787878787879,0.5757575757575758,0.2698412698412698,0.6190476190476191,37,0.7612612612612611,0.6216216216216216,7.0,0.35135135135135137,163,0.5045871559633027,0.05504587155963303,0.5166666666666667,0.1,360,0.6425925925925928,0.25,5.447222222222222,0.37083333333333335,177,0.7102803738317757,0.028037383177570093,0.6842105263157895,0.039473684210526314,238,0.7037815126050421,0.7857142857142857,5.298319327731092,0.3637955182072829,13.488888888888889,13.533333333333333,12.844444444444445,12.422222222222222,2,1,1
